diasemana;dia;hora;periodo;Avail;Reject;Moto;Van;Carro;LicGrey;LicRed;ThermalBag
Saturday;2020-02-01 00:00:00.000;0;0;79;43;55;1;23;28;51;52
Saturday;2020-02-01 00:00:00.000;0;30;57;31;40;2;15;21;36;38
Saturday;2020-02-01 00:00:00.000;1;0;48;26;33;0;15;17;31;30
Saturday;2020-02-01 00:00:00.000;1;30;47;26;33;0;14;15;32;30
Saturday;2020-02-01 00:00:00.000;2;0;48;26;31;0;17;14;34;29
Saturday;2020-02-01 00:00:00.000;2;30;43;24;29;0;14;16;27;27
Saturday;2020-02-01 00:00:00.000;3;0;41;22;27;0;14;15;26;26
Saturday;2020-02-01 00:00:00.000;3;30;45;25;29;0;16;15;30;28
Saturday;2020-02-01 00:00:00.000;4;0;46;25;32;0;14;17;29;31
Saturday;2020-02-01 00:00:00.000;4;30;45;25;29;0;16;18;27;27
Saturday;2020-02-01 00:00:00.000;5;0;46;25;30;0;16;17;29;29
Saturday;2020-02-01 00:00:00.000;5;30;54;29;36;0;18;22;32;35
Saturday;2020-02-01 00:00:00.000;6;0;62;34;44;2;16;27;35;43
Saturday;2020-02-01 00:00:00.000;6;30;73;40;55;1;17;35;38;52
Saturday;2020-02-01 00:00:00.000;7;0;83;45;63;0;20;41;42;60
Saturday;2020-02-01 00:00:00.000;7;30;97;53;77;2;18;53;44;73
Saturday;2020-02-01 00:00:00.000;8;0;122;66;100;1;21;60;62;98
Saturday;2020-02-01 00:00:00.000;8;30;147;79;122;5;20;75;72;119
Saturday;2020-02-01 00:00:00.000;9;0;153;83;130;1;22;86;67;128
Saturday;2020-02-01 00:00:00.000;9;30;156;84;136;2;18;90;66;135
Saturday;2020-02-01 00:00:00.000;10;0;173;93;152;2;19;95;78;149
Saturday;2020-02-01 00:00:00.000;10;30;154;83;133;2;19;75;79;130
Saturday;2020-02-01 00:00:00.000;11;0;148;80;126;2;20;64;84;124
Saturday;2020-02-01 00:00:00.000;11;30;161;87;135;3;23;78;83;131
Saturday;2020-02-01 00:00:00.000;12;0;156;84;132;2;22;77;79;129
Saturday;2020-02-01 00:00:00.000;12;30;160;86;141;2;17;80;80;137
Saturday;2020-02-01 00:00:00.000;13;0;157;85;138;2;17;82;75;134
Saturday;2020-02-01 00:00:00.000;13;30;172;93;150;3;19;90;82;149
Saturday;2020-02-01 00:00:00.000;14;0;178;96;156;3;19;102;76;154
Saturday;2020-02-01 00:00:00.000;14;30;170;92;143;3;24;83;87;141
Saturday;2020-02-01 00:00:00.000;15;0;154;83;129;2;23;74;80;128
Saturday;2020-02-01 00:00:00.000;15;30;141;76;120;2;19;66;75;119
Saturday;2020-02-01 00:00:00.000;16;0;120;65;97;1;22;47;73;96
Saturday;2020-02-01 00:00:00.000;16;30;116;63;89;1;26;40;76;89
Saturday;2020-02-01 00:00:00.000;17;0;95;51;72;1;22;25;70;72
Saturday;2020-02-01 00:00:00.000;17;30;87;47;66;1;20;24;63;66
Saturday;2020-02-01 00:00:00.000;18;0;82;44;58;1;23;24;58;58
Saturday;2020-02-01 00:00:00.000;18;30;76;41;50;1;25;27;49;50
Saturday;2020-02-01 00:00:00.000;19;0;74;40;49;1;24;27;47;48
Saturday;2020-02-01 00:00:00.000;19;30;75;41;52;2;21;26;49;52
Saturday;2020-02-01 00:00:00.000;20;0;70;38;47;3;20;24;46;45
Saturday;2020-02-01 00:00:00.000;20;30;73;40;45;2;26;23;50;43
Saturday;2020-02-01 00:00:00.000;21;0;60;33;39;1;20;20;40;36
Saturday;2020-02-01 00:00:00.000;21;30;57;31;36;2;19;20;37;34
Saturday;2020-02-01 00:00:00.000;22;0;50;27;32;1;17;17;33;31
Saturday;2020-02-01 00:00:00.000;22;30;48;26;29;1;18;18;30;27
Saturday;2020-02-01 00:00:00.000;23;0;48;26;29;1;18;19;29;27
Saturday;2020-02-01 00:00:00.000;23;30;46;25;25;1;20;16;30;24
Sunday;2020-02-02 00:00:00.000;0;0;41;22;23;1;17;14;27;21
Sunday;2020-02-02 00:00:00.000;0;30;39;21;20;1;18;13;26;18
