weekday;dia;hora;periodo;demand
Tuesday;01/10/2019;7;30;37
Tuesday;01/10/2019;8;0;12
Tuesday;01/10/2019;8;30;2
Tuesday;01/10/2019;14;30;1
Wednesday;02/10/2019;7;30;55
Wednesday;02/10/2019;8;0;2
Wednesday;02/10/2019;8;30;1
Wednesday;02/10/2019;9;0;5
Wednesday;02/10/2019;11;0;4
Thursday;03/10/2019;7;30;48
Thursday;03/10/2019;8;0;13
Thursday;03/10/2019;8;30;3
Thursday;03/10/2019;9;0;4
Thursday;03/10/2019;9;30;18
Thursday;03/10/2019;10;0;21
Thursday;03/10/2019;10;30;1
Thursday;03/10/2019;11;0;3
Thursday;03/10/2019;13;30;2
Thursday;03/10/2019;14;0;8
Friday;04/10/2019;6;30;11
Friday;04/10/2019;7;0;1
Friday;04/10/2019;8;0;3
Friday;04/10/2019;8;30;1
Friday;04/10/2019;9;0;3
Friday;04/10/2019;10;0;21
Friday;04/10/2019;10;30;2
Friday;04/10/2019;11;30;1
Monday;07/10/2019;7;0;76
Monday;07/10/2019;7;30;7
Monday;07/10/2019;8;0;1
Monday;07/10/2019;8;30;4
Monday;07/10/2019;9;0;8
Monday;07/10/2019;9;30;3
Monday;07/10/2019;10;0;1
Monday;07/10/2019;11;0;37
Monday;07/10/2019;11;30;3
Monday;07/10/2019;12;0;8
Monday;07/10/2019;12;30;4
Monday;07/10/2019;15;30;4
Monday;07/10/2019;17;0;2
Monday;07/10/2019;17;30;1
Tuesday;08/10/2019;6;30;6
Tuesday;08/10/2019;7;0;43
Tuesday;08/10/2019;7;30;4
Tuesday;08/10/2019;8;0;1
Tuesday;08/10/2019;8;30;1
Tuesday;08/10/2019;9;0;1
Tuesday;08/10/2019;9;30;1
Tuesday;08/10/2019;10;30;14
Tuesday;08/10/2019;11;0;10
Tuesday;08/10/2019;11;30;36
Tuesday;08/10/2019;12;0;10
Tuesday;08/10/2019;12;30;7
Tuesday;08/10/2019;13;0;22
Tuesday;08/10/2019;13;30;4
Tuesday;08/10/2019;14;0;10
Tuesday;08/10/2019;14;30;7
Tuesday;08/10/2019;15;0;2
Tuesday;08/10/2019;15;30;2
Tuesday;08/10/2019;16;0;3
Tuesday;08/10/2019;16;30;2
Tuesday;08/10/2019;17;0;2
Wednesday;09/10/2019;7;0;29
Wednesday;09/10/2019;7;30;3
Wednesday;09/10/2019;8;0;4
Wednesday;09/10/2019;8;30;5
Wednesday;09/10/2019;9;0;8
Wednesday;09/10/2019;9;30;7
Wednesday;09/10/2019;10;0;12
Wednesday;09/10/2019;10;30;24
Wednesday;09/10/2019;11;0;31
Wednesday;09/10/2019;11;30;9
Wednesday;09/10/2019;12;0;9
Wednesday;09/10/2019;12;30;4
Wednesday;09/10/2019;13;0;12
Wednesday;09/10/2019;13;30;7
Wednesday;09/10/2019;14;0;3
Wednesday;09/10/2019;15;0;2
Wednesday;09/10/2019;15;30;7
Wednesday;09/10/2019;16;30;2
Wednesday;09/10/2019;17;0;4
Thursday;10/10/2019;7;0;21
