Dia,Hora,Demand,Weekday,Avail,Reject,Unmatch
2019-12-01,6,23,Sunday,162,63,23
2019-12-01,7,38,Sunday,237,186,56
2019-12-01,8,25,Sunday,389,260,121
2019-12-01,9,23,Sunday,533,350,135
2019-12-01,10,48,Sunday,670,453,180
2019-12-01,11,23,Sunday,822,447,182
2019-12-01,12,21,Sunday,903,483,204
2019-12-01,13,12,Sunday,956,458,200
2019-12-01,14,12,Sunday,1017,433,193
2019-12-01,15,7,Sunday,958,436,163
2019-12-01,16,9,Sunday,859,388,146
2019-12-01,17,1,Sunday,702,394,144
2019-12-02,6,52,Monday,392,288,84
2019-12-02,7,11,Monday,724,413,163
2019-12-02,8,21,Monday,1370,526,218
2019-12-02,9,40,Monday,2065,714,318
2019-12-02,10,37,Monday,2740,879,389
2019-12-02,11,16,Monday,3064,975,420
2019-12-02,12,13,Monday,3144,980,399
2019-12-02,13,7,Monday,3168,988,365
2019-12-02,14,4,Monday,3243,1001,404
2019-12-02,15,5,Monday,3154,1009,390
2019-12-02,16,3,Monday,2968,910,371
2019-12-02,18,3,Monday,2139,543,181
2019-12-02,19,1,Monday,1577,403,130
2019-12-03,5,36,Tuesday,215,105,26
2019-12-03,6,38,Tuesday,507,363,106
2019-12-03,7,8,Tuesday,1018,479,168
2019-12-03,8,13,Tuesday,1869,503,187
2019-12-03,9,45,Tuesday,2693,846,313
2019-12-03,10,8,Tuesday,3169,931,339
2019-12-03,11,70,Tuesday,3497,1099,440
2019-12-03,12,18,Tuesday,3466,988,404
2019-12-03,13,7,Tuesday,3463,1047,370
2019-12-03,14,17,Tuesday,3584,1014,413
2019-12-03,15,3,Tuesday,3658,1030,422
2019-12-03,16,6,Tuesday,3467,939,346
2019-12-03,17,1,Tuesday,3181,700,204
2019-12-03,18,1,Tuesday,2461,478,142
2019-12-03,19,2,Tuesday,1894,409,126
2019-12-04,5,42,Wednesday,258,145,22
2019-12-04,6,34,Wednesday,606,433,112
2019-12-04,7,7,Wednesday,1108,479,179
2019-12-04,8,22,Wednesday,2023,573,186
2019-12-04,9,38,Wednesday,2875,765,312
2019-12-04,10,14,Wednesday,3387,896,355
2019-12-04,11,45,Wednesday,3700,1002,355
2019-12-04,12,42,Wednesday,3566,1132,453
2019-12-04,13,12,Wednesday,3321,1137,439
2019-12-04,14,13,Wednesday,3399,1171,493
2019-12-04,15,6,Wednesday,3476,1119,466
2019-12-04,16,7,Wednesday,3356,1017,393
2019-12-04,17,1,Wednesday,3057,877,266
2019-12-04,18,3,Wednesday,2373,659,224
2019-12-04,19,8,Wednesday,1848,585,190
2019-12-05,5,46,Thursday,282,118,20
2019-12-05,6,93,Thursday,617,461,117
2019-12-05,7,14,Thursday,1121,498,154
2019-12-05,8,12,Thursday,1932,671,255
2019-12-05,9,24,Thursday,2740,829,330
2019-12-05,10,50,Thursday,3300,955,375
2019-12-05,11,18,Thursday,3605,1034,439
2019-12-05,12,11,Thursday,3571,982,358
2019-12-05,13,6,Thursday,3565,1058,374
2019-12-05,14,5,Thursday,3614,1092,444
2019-12-05,15,1,Thursday,3385,1130,462
