hour,drivers,rsme,ag,td
7.0,155.48721313476562,34.23562093017296,A1,D1
8.0,177.35638427734375,31.271745078935464,A1,D1
9.0,184.9408721923828,29.472444581361604,A1,D1
10.0,214.2676239013672,37.79233832119898,A1,D1	
11.0,190.97442626953125,26.308694832282153,A1,D1
12.0,151.24758911132812,37.422592787429856,A1,D1
13.0,164.1759490966797,27.410868544412136,A1,D1
14.0,147.14675903320312,32.19454742829435,A1,D1
15.0,137.33287048339844,30.536404545712273,A1,D1
16.0,135.79978942871094,25.97190067477988,A1,D1
17.0,117.12081909179688,36.088479153850535,A1,D1
18.0,111.48462677001953,32.60966546232606,A1,D1
19.0,102.35246276855469,29.581239436114515,A1,D1
20.0,98.15291595458984,22.951799028435477,A1,D1
21.0,90.859130859375,20.152920122019154,A1,D1
7.0,126.15693664550781,28.20390316884896,A2,D1
8.0,152.42221069335938,36.81021265539018,A2,D1
9.0,164.84686279296875,37.587864047500695,A2,D1
10.0,159.64210510253906,36.61859946640493,A2,D1
11.0,177.35226440429688,27.573627881289035,A2,D1
12.0,149.31942749023438,38.967387858073586,A2,D1
13.0,140.123291015625,42.21140030847873,A2,D1
14.0,159.78163146972656,25.660492506788593,A2,D1
15.0,133.71701049804688,32.99519394477924,A2,D1
16.0,148.0095672607422,22.716134290496132,A2,D1
17.0,143.15342712402344,24.140429823073234,A2,D1
18.0,127.15855407714844,24.058552760982632,A2,D1
19.0,112.0921630859375,23.99760745849949,A2,D1
20.0,95.7576904296875,24.26529596050966,A2,D1
21.0,78.77180480957031,27.480602563735168,A2,D1
7.0,148.57164001464844,30.640241169147906,A1,D2
8.0,174.6033935546875,30.97018435424106,A1,D2
9.0,222.09902954101562,44.60746294174015,A1,D2
10.0,158.04885864257812,37.740842943407316,A1,D2
11.0,161.7327880859375,35.97173833754579,A1,D2
12.0,165.83111572265625,27.991515634297954,A1,D2
13.0,162.93594360351562,27.834865798155448,A1,D2
14.0,148.6586456298828,31.247950323192843,A1,D2
15.0,114.82697296142578,48.39539807053162,A1,D2
16.0,143.93946838378906,23.121216453279406,A1,D2
17.0,117.40611267089844,35.80112056420534,A1,D2
18.0,143.90640258789062,24.596222044659257,A1,D2
19.0,114.72755432128906,22.809902512500273,A1,D2
20.0,90.09696197509766,28.096718369189706,A1,D2
21.0,84.85546875,23.34716756661176,A1,D2
